Sr No,Date,Startup Name,IndUSAtry Vertical,SubVertical,Location,Investors Name,InvestmentType,Amount,IsAmountDisclosed
2781,14-05-2015,IndianRoots,Lifestyle Ecommerce Portal,Not Specified,Gurgaon,KJS Group,Private Equity,5000000,1
2782,14-05-2015,RedPolka,Online Fashion Aggregator,Not Specified,Mumbai,Undisclosed Investors,Seed Funding,250000,1
2783,15-05-2015,Venturesity,Online Job skills Showcase,Not Specified,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,270000,1
2784,18-05-2015,TheBetterIndia,Online News Media,Not Specified,Bangalore,Mohandas Pai,Seed Funding,0,0
2785,18-05-2015,Awaaz De,Enterprise Communication Platform,Not Specified,Ahmedabad,Samir Shah,Seed Funding,0,0
2786,19-05-2015,Chaayos,Offline Tea Chain,Not Specified,New Delhi,Tiger Global Management,Private Equity,1000000,1
2787,19-05-2015,Akosha,Business Messaging App,Not Specified,New Delhi,Sequoia Capital,Private Equity,16000000,1
2788,19-05-2015,Cooey,Health Mobile App,Not Specified,Bangalore,Subhash Goyal,Seed Funding,470000,1
2789,19-05-2015,MeetUniv,Online Ed-Tech Platform,Not Specified,Noida,Peesh Venture Capital,Seed Funding,1000000,1
2790,19-05-2015,Inspirock,Online Travel Planning,Not Specified,Unknown,MakeMyTrip Innovation Fund,Private Equity,0,0
2791,19-05-2015,CrownIt,Hyperlocal Mobile Marketplace,Not Specified,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,5500000,1
2792,19-05-2015,Trucksfirst,Trucking Logistic Operations,Not Specified,Gurgaon,SAIF partners,Private Equity,10000000,1
2793,20-05-2015,Lookup,B2C Messaging App,Not Specified,Bangalore,Biz Stone,Private Equity,3000000,1
2794,21-05-2015,SunTerrace,Rooftop Solar Plants,Not Specified,New Delhi,Sunergy Investors,Private Equity,0,0
2795,22-05-2015,Nudgespot,Customer Engagement Platform,Not Specified,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,625000,1
2796,22-05-2015,CarDekho,Online Car Portal,Not Specified,Jaipur,HDFC Bank,Private Equity,0,0
2797,22-05-2015,EveningFlavors,Online Table Reservation,Not Specified,Bangalore,Sandiep Shrivatsava,Seed Funding,500000,1
2798,25-05-2015,Razorpay,Online Payment Gateway,Not Specified,Bangalore,Punit Soni,Seed Funding,0,0
2799,25-05-2015,ZenParent,Parents focused Web Content,Not Specified,Bangalore,i2india Ventures,Seed Funding,500000,1
2800,25-05-2015,Newgen Payments,Payments Solution Provider,Not Specified,New Delhi,Jan Manten,Seed Funding,0,0
2801,26-05-2015,UrbanPro,On Demand Service marketplace,Not Specified,Bangalore,Nirvana Venture Advisors,Private Equity,2000000,1
2802,26-05-2015,Goodbox,On Demand Business messaging,Not Specified,Bangalore,Manipal Group,Seed Funding,200000,1
2803,26-05-2015,Renderlogy,Online Homecor,Not Specified,Hyderabad,Astarc Ventures,Private Equity,1000000,1
2804,27-05-2015,Postman,API Workflow platform,Not Specified,Bangalore,Nexus Venture Partners,Seed Funding,1000000,1
2805,27-05-2015,Casa2inns,Affordable Hotel Booking Online,Not Specified,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,5000000,1
2806,27-05-2015,FleetRover,Logistics Intelligence,Not Specified,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,180000,1
2807,28-05-2015,TheKarrier,Last Mile Logistics,Not Specified,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,240000,1
2808,28-05-2015,Zoomcar,Self-driven Car rental,Not Specified,Bangalore,Sequoia Capital,Private Equity,5000000,1
2809,28-05-2015,Truweight,Weight Management Service,Not Specified,Hyderabad,Kalaari Capital,Private Equity,0,0
2810,30-05-2015,Ather Energy,Electric Scooter Manufacturer,Not Specified,Bangalore,Tiger Global,Private Equity,12000000,1
2811,03-04-2015,Swiggy,Online Food Delivery,Not Specified,Bangalore,"Accel Partners, SAIF Partners",Private Equity,2000000,1
2812,04-04-2015,Bluegape,Web Content Publishing,Not Specified,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,200000,1
2813,04-04-2015,KeepTrax,Location Based App,Not Specified,Dallas / Hyderabad,Undisclosed,Seed Funding,1000000,1
2814,06-04-2015,InstaLively,Video Streaming,Not Specified,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,120000,1
2815,07-04-2015,Pricejugaad,Price Comparison,Not Specified,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,165000,1
2816,07-04-2015,Quikr,Online Classifieds,Not Specified,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,150000000,1
249,25-06-2018,Policy Bazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000,1
2818,07-04-2015,LogiNext,Logistics Tech,Not Specified,Mumbai,"Ajit Surana, Sanjay Mehta",Seed Funding,0,0
2819,08-04-2015,FirstCry,E-Commerce,Not Specified,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India, SAIF Partners, Vertex Ventures",Private Equity,10000000,1
2820,08-04-2015,MobiKwik,Digital / Mobile Wallet,Not Specified,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,25000000,1
2821,08-04-2015,Olacabs,Cab Aggregator,Not Specified,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,400000000,1
2822,09-04-2015,Gadgetwood,Device Repair Svcs,Not Specified,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,200000,1
2823,09-04-2015,Bonhomia,Premium Beverages,Not Specified,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,2000000,1
2824,09-04-2015,Changer Mints,Digital / Mobile Wallet,Not Specified,Kolkata,Hyderabad based investor,Seed Funding,165000,1
2825,09-04-2015,Urban Ladder,Online FurnishingeCommerce,Not Specified,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,50000000,1
2826,09-04-2015,Purple Squirrel,Ed-Tech,Not Specified,Mumbai,"Matrix Partners India, India Quotient",Private Equity,0,0
2827,10-04-2015,Whatfix,Interactive How-To Guides,Not Specified,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,900000,1
